Time,Spillway,Saddle dam,South saddle dam,North saddle dam,Left Non Overflow,Right Non Overflow
54.196775986659254,1401.561834792261,0.0,0.0,0.0,0.0,0.0
54.363535297387436,1403.8390121938182,0.0,0.0,0.0,0.0,0.0
54.53029460811562,1406.1093846803458,0.0,0.0,0.0,0.0,0.0
54.6970539188438,1408.372972587015,0.0,0.0,0.0,0.0,0.0
54.86381322957198,1410.6297961882892,0.0,0.0,0.0,0.0,0.0
55.03057254030016,1412.8798756980493,0.0,0.0,0.0,0.0,0.0
55.197331851028345,1415.1232312696777,0.0,0.0,0.0,0.0,0.0
55.36409116175653,1417.3598829964772,0.0,0.0,0.0,0.0,0.0
55.53085047248471,1419.5898509115445,0.0,0.0,0.0,0.0,0.0
55.69760978321289,1421.8131549881907,0.0,0.0,0.0,0.0,0.0
55.86436909394107,1424.029815140108,0.0,0.0,0.0,0.0,0.0
56.03112840466926,1426.2398512213695,0.0,0.0,0.0,0.0,0.0
56.19788771539744,1428.4432830267644,0.0,0.0,0.0,0.0,0.0
56.364647026125624,1430.6401302919248,0.0,0.0,0.0,0.0,0.0
56.531406336853806,1432.8304126935334,0.0,0.0,0.0,0.0,0.0
56.69816564758199,1435.0141498493667,0.0,0.0,0.0,0.0,0.0
56.86492495831017,1437.191361318756,0.0,0.0,0.0,0.0,0.0
57.03168426903835,1439.3622595704032,0.0,0.0,0.0,0.0,0.0
57.19844357976653,1441.5276215109595,0.0,0.0,0.0,0.0,0.0
57.365202890494714,1443.8017903095638,0.0,0.0,0.0,0.0,0.0
57.531962201222896,1446.1785183327913,0.0,0.0,0.0,0.0,0.0
57.69872151195108,1448.5479730930144,0.0,0.0,0.0,0.0,0.0
57.86548082267926,1450.910360025164,0.0,0.0,0.0,0.0,0.0
58.03224013340745,1453.2657021376435,0.0,0.0,0.0,0.0,0.0
58.19899944413563,1455.6140226640205,0.0,0.0,0.0,0.0,0.0
58.36575875486381,1457.955344760819,0.0,0.0,0.0,0.0,0.0
58.532518065591994,1460.2896915082138,0.0,0.0,0.0,0.0,0.0
58.699277376320175,1462.617085910262,0.0,0.0,0.0,0.0,0.0
58.86603668704836,1464.9375508950868,0.0,0.0,0.0,0.0,0.0
59.03279599777654,1467.251109315295,0.0,0.0,0.0,0.0,0.0
59.19955530850472,1469.5577839480222,0.0,0.0,0.0,0.0,0.0
59.3663146192329,1471.8575974953499,0.0,0.0,0.0,0.0,0.0
59.533073929961084,1474.1505725845357,0.0,0.0,0.0,0.0,0.0
59.699833240689266,1476.4367317681529,0.0,0.0,0.0,0.0,0.0
59.86659255141745,1478.716097524368,0.0,0.0,0.0,0.0,0.0
60.033351862145636,1480.9929598289166,0.0,0.0,0.0,0.0,0.0
60.20011117287382,1483.2829676287822,0.0,0.0,0.0,0.0,0.0
60.366870483602,1485.580361556765,0.0,0.0,0.0,0.0,0.0
60.53362979433018,1487.8851267264915,0.0,0.0,0.0,0.0,0.0
60.70038910505836,1490.1972388125657,0.0,0.0,0.0,0.0,0.0
60.867148415786545,1492.5166735855953,0.0,0.0,0.0,0.0,0.0
61.03390772651473,1494.8434068960971,0.0,0.0,0.0,0.0,0.0
61.20066703724291,1497.1774146741295,0.0,0.0,0.0,0.0,0.0
61.36742634797109,1499.5186729291975,0.0,0.0,0.0,0.0,0.0
61.53418565869927,1501.8671577499772,0.0,0.0,0.0,0.0,0.0
61.700944969427454,1504.2228453038983,0.0,0.0,0.0,0.0,0.0
61.867704280155635,1506.5857118370523,0.0,0.0,0.0,0.0,0.0
62.034463590883824,1508.9557336738226,0.0,0.0,0.0,0.0,0.0
62.201222901612006,1511.3328872167447,0.0,0.0,0.0,0.0,0.0
62.36798221234019,1513.7171489460918,0.0,0.0,0.0,0.0,0.0
62.53474152306837,1516.1084954197809,0.0,0.0,0.0,0.0,0.0
62.70150083379655,1518.5069032729568,0.0,0.0,0.0,0.0,0.0
62.86826014452473,1520.9123492179,0.0,0.0,0.0,0.0,0.0
63.035019455252915,1523.555825673943,0.0,0.0,0.0,0.0,0.0
63.201778765981096,1527.2282184010144,0.0,0.0,0.0,0.0,0.0
63.36853807670928,1531.6351359478235,0.0,0.0,0.0,0.0,0.0
63.53529738743746,1536.774638149297,0.0,0.0,0.0,0.0,0.0
63.70205669816564,1543.0081901167475,0.0,0.0,0.0,0.0,0.0
63.86881600889382,1549.6032199159847,0.0,0.0,0.0,0.0,0.0
64.03557531962201,1556.923621344468,0.0,0.0,0.0,0.0,0.0
64.2023346303502,1564.9670021827103,0.0,0.0,0.0,0.0,0.0
64.36909394107838,1573.7309781005072,0.0,0.0,0.0,0.0,0.0
64.53585325180656,1583.2131726313637,0.0,0.0,0.0,0.0,0.0
64.70261256253474,1593.4112171457189,0.0,0.0,0.0,0.0,0.0
64.86937187326292,1604.3227508258813,0.0,0.0,0.0,0.0,0.0
65.0361311839911,1615.9454206397625,0.0,0.0,0.0,0.0,0.0
65.20289049471928,1628.2768813155808,0.0,0.0,0.0,0.0,0.0
65.36964980544747,1641.3147953159655,0.0,0.0,0.0,0.0,0.0
65.53640911617565,1655.0568328125216,0.0,0.0,0.0,0.0,0.0
65.70316842690383,1669.5006716605803,0.0,0.0,0.0,0.0,0.0
65.86992773763201,1684.630837379464,0.0,0.0,0.0,0.0,0.0
66.03668704836019,1700.3852483610708,0.0,0.0,0.0,0.0,0.0
66.20344635908837,1716.7151877318952,0.0,0.0,0.0,0.0,0.0
66.37020566981656,1733.6187574438404,0.0,0.0,0.0,0.0,0.0
66.53696498054474,1751.0940657084886,0.0,0.0,0.0,0.0,0.0
66.70372429127292,1769.2462925308673,0.0,0.0,0.0,0.0,0.0
66.8704836020011,1789.6058376107492,0.0,0.0,0.0,0.0,0.0
67.03724291272928,1810.5783103134388,0.0,0.0,0.0,0.0,0.0
67.20400222345748,1832.1614995486154,0.0,0.0,0.0,0.0,0.0
67.37076153418566,1854.3532022027625,0.0,0.0,0.0,0.0,0.0
67.53752084491384,1877.1512231097731,0.0,0.0,0.0,0.0,0.0
67.70428015564202,1900.5533750223653,0.0,0.0,0.0,0.0,0.0
67.8710394663702,1924.5574785835488,0.0,0.0,0.0,0.0,0.0
68.03779877709839,1949.1613622984444,0.0,0.0,0.0,0.0,0.0
68.20455808782657,1974.362862505447,0.0,0.0,0.0,0.0,0.0
68.37131739855475,2000.1598233482482,0.0,0.0,0.0,0.0,0.0
68.53807670928293,2026.550096747656,0.0,0.0,0.0,0.0,0.0
68.70483602001111,2053.531542373568,0.0,0.0,0.0,0.0,0.0
68.8715953307393,2081.072574380615,0.0,0.0,0.0,0.0,0.0
69.03835464146748,2109.0431165545256,0.0,0.0,0.0,0.0,0.0
69.20511395219566,2137.3430151946945,0.0,0.0,0.0,0.0,0.0
69.37187326292384,2165.9710821780786,0.0,0.0,0.0,0.0,0.0
69.53863257365202,2194.9261336202517,0.0,0.0,0.0,0.0,0.0
69.7053918843802,2224.2069899494063,0.0,0.0,0.0,0.0,0.0
69.87215119510839,2253.8124758492354,0.0,0.0,0.0,0.0,0.0
70.03891050583657,2283.7414202430514,0.0,0.0,0.0,0.0,0.0
70.20566981656475,2313.9926562787055,0.0,0.0,0.0,0.0,0.0
70.37242912729293,2344.565021313564,0.0,0.0,0.0,0.0,0.0
70.53918843802111,2375.4573568990772,0.0,0.0,0.0,0.0,0.0
70.7059477487493,2406.668508765653,0.0,0.0,0.0,0.0,0.0
70.87270705947748,2438.1973268076795,0.0,0.0,0.0,0.0,0.0
71.03946637020566,2470.0426650684003,0.0,0.0,0.0,0.0,0.0
71.20622568093385,2502.997983040722,0.0,0.0,0.0,0.0,0.0
71.37298499166204,2536.6331454137876,0.0,0.0,0.0,0.0,0.0
71.53974430239022,2570.588294354753,0.0,0.0,0.0,0.0,0.0
71.7065036131184,2604.8622341910773,0.0,0.0,0.0,0.0,0.0
71.87326292384658,2639.609003487055,0.0,0.0,0.0,0.0,0.0
72.04002223457476,2675.4736261563403,0.0,0.0,0.0,0.0,0.0
72.20678154530295,2712.943486125719,0.0,0.0,0.0,0.0,0.0
72.37354085603113,2752.012585211695,0.0,0.0,0.0,0.0,0.0
72.54030016675931,2792.674947643601,0.0,0.0,0.0,0.0,0.0
72.70705947748749,2834.924619980273,0.0,0.0,0.0,0.0,0.0
72.87381878821567,2878.7556710262447,0.0,0.0,0.0,0.0,0.0
73.04057809894385,2924.162191748707,0.0,0.0,0.0,0.0,0.0
73.20733740967204,2971.138295195,0.0,0.0,0.0,0.0,0.0
73.37409672040022,3019.678116409507,0.0,0.0,0.0,0.0,0.0
73.5408560311284,3069.775812351951,0.0,0.0,0.0,0.0,0.0
73.70761534185658,3121.425561815405,0.0,0.0,0.0,0.0,0.0
73.87437465258476,3174.6215653446466,0.0,0.0,0.0,0.0,0.0
