Time,Inflow,Level,Storage,Spillway,Intact Flow,Breach Main Flow,Breach Lateral Flow,Breach Intact Flow,Total Breach Flow,Total Outflow,Mass Error (ML),Mass Error (%)
161.42301278488048,0.0,136.3121648171077,179120.4515495012,0.0,0.0,157.04323930138833,0.0,0.0,157.04323930138833,157.04323930138833,-0.1669417282100767,-0.1669417282100767
161.58977209560865,0.0,136.30911420515642,179026.33937759715,0.0,0.0,156.4897185789634,0.0,0.0,156.4897185789634,156.4897185789634,-0.16614852161728777,-0.16614852161728777
161.75653140633685,0.0,136.30607433887243,178932.55871428468,0.0,0.0,155.93882456759306,0.0,0.0,155.93882456759306,155.93882456759306,-0.16536007006652653,-0.16536007006652653
161.92329071706502,0.0,136.30304516729473,178839.10798738178,0.0,0.0,155.39054154041835,0.0,0.0,155.39054154041835,155.39054154041835,-0.1645763394772075,-0.1645763394772075
162.0900500277932,0.0,136.3000266397672,178745.98563411357,0.0,0.0,154.84485388457446,0.0,0.0,154.84485388457446,154.84485388457446,-0.16379729556501843,-0.16379729556501843
162.25680933852138,0.0,136.2970187059365,178653.19010104422,0.0,0.0,154.30174610022254,0.0,0.0,154.30174610022254,154.30174610022254,-0.16302290334715508,-0.16302290334715508
162.42356864924957,0.0,136.29402131574972,178560.71984400926,0.0,0.0,153.761202799567,0.0,0.0,153.761202799567,153.761202799567,-0.16225313048926182,-0.16225313048926182
162.59032795997774,0.0,136.29103441945236,178468.57332804875,0.0,0.0,153.22320870592515,0.0,0.0,153.22320870592515,153.22320870592515,-0.1614879434928298,-0.1614879434928298
162.75708727070594,0.0,136.28805796758613,178376.74902734073,0.0,0.0,152.6877486527772,0.0,0.0,152.6877486527772,152.6877486527772,-0.160727308713831,-0.160727308713831
162.92384658143413,0.0,136.28509191098675,178285.24542513548,0.0,0.0,152.15480758282223,0.0,0.0,152.15480758282223,152.15480758282223,-0.15997119422536343,-0.15997119422536343
163.0906058921623,0.0,136.282136200782,178194.06101369017,0.0,0.0,151.62437054707553,0.0,0.0,151.62437054707553,151.62437054707553,-0.15921956571401097,-0.15921956571401097
163.2573652028905,0.0,136.27919078838934,178103.19429420403,0.0,0.0,151.0964227039162,0.0,0.0,151.0964227039162,151.0964227039162,-0.15847239279537462,-0.15847239279537462
163.42412451361866,0.0,136.27625562551412,178012.64377675438,0.0,0.0,150.57094931821115,0.0,0.0,150.57094931821115,150.57094931821115,-0.15772964362986386,-0.15772964362986386
163.59088382434686,0.0,136.27333066414744,177922.40798023273,0.0,0.0,150.04793576042,0.0,0.0,150.04793576042,150.04793576042,-0.15699128428241238,-0.15699128428241238
163.75764313507503,0.0,136.2704158565639,177832.48543228183,0.0,0.0,149.52736750566422,0.0,0.0,149.52736750566422,149.52736750566422,-0.15625728594022803,-0.15625728594022803
163.92440244580322,0.0,136.26751115531982,177742.87466923302,0.0,0.0,149.00923013289403,0.0,0.0,149.00923013289403,149.00923013289403,-0.15552761647268198,-0.15552761647268198
164.0911617565314,0.0,136.2646165132512,177653.5742360442,0.0,0.0,148.49350932399406,0.0,0.0,148.49350932399406,148.49350932399406,-0.1548022443021182,-0.1548022443021182
