Time,Spillway,South saddle dam,North saddle dam,Left Non Overflow,Right Non Overflow,Saddle dam
0.0,5.023675096455122,0.0,0.0,0.0,0.0,
0.16675931072818231,10.035685639357686,0.0,0.0,0.0,0.0,0.0
0.33351862145636463,15.036058712810378,0.0,0.0,0.0,0.0,0.0
0.500277932184547,20.024821337996194,0.0,0.0,0.0,0.0,0.0
0.6670372429127293,25.002000473481992,0.0,0.0,0.0,0.0,0.0
0.8337965536409115,29.967623015100433,0.0,0.0,0.0,0.0,0.0
1.000555864369094,34.92171579632101,0.0,0.0,0.0,0.0,0.0
1.1673151750972761,39.86430558828376,0.0,0.0,0.0,0.0,0.0
1.3340744858254585,44.79541909998478,0.0,0.0,0.0,0.0,0.0
1.500833796553641,49.71508297836051,0.0,0.0,0.0,0.0,0.0
1.667593107281823,54.62332380850705,0.0,0.0,0.0,0.0,0.0
1.8343524180100055,59.52016811378125,0.0,0.0,0.0,0.0,0.0
2.001111728738188,64.40564235598626,0.0,0.0,0.0,0.0,0.0
2.16787103946637,69.27977293543898,0.0,0.0,0.0,0.0,0.0
2.3346303501945522,74.14258619118932,0.0,0.0,0.0,0.0,0.0
2.501389660922735,78.99410840108759,0.0,0.0,0.0,0.0,0.0
2.668148971650917,83.83436578203751,0.0,0.0,0.0,0.0,0.0
2.834908282379099,88.66338449002996,0.0,0.0,0.0,0.0,0.0
3.001667593107282,93.48119062024406,0.0,0.0,0.0,0.0,0.0
3.168426903835464,98.28781020745207,0.0,0.0,0.0,0.0,0.0
3.335186214563646,103.08326922581685,0.0,0.0,0.0,0.0,0.0
3.501945525291829,107.86759358926301,0.0,0.0,0.0,0.0,0.0
3.668704836020011,112.64080915151052,0.0,0.0,0.0,0.0,0.0
3.835464146748193,117.40294170631091,0.0,0.0,0.0,0.0,0.0
4.002223457476376,122.15401698741299,0.0,0.0,0.0,0.0,0.0
4.1689827682045575,126.894060668952,0.0,0.0,0.0,0.0,0.0
4.33574207893274,131.62309836531384,0.0,0.0,0.0,0.0,0.0
4.502501389660923,136.34115563152284,0.0,0.0,0.0,0.0,0.0
4.6692607003891045,141.0482579632082,0.0,0.0,0.0,0.0,0.0
4.836020011117287,145.74443079680637,0.0,0.0,0.0,0.0,0.0
5.00277932184547,150.42969950969598,0.0,0.0,0.0,0.0,0.0
5.169538632573651,155.1040894203328,0.0,0.0,0.0,0.0,0.0
5.336297943301834,159.7676257884182,0.0,0.0,0.0,0.0,0.0
5.503057254030017,164.4203338149163,0.0,0.0,0.0,0.0,0.0
5.669816564758198,169.06223864237404,0.0,0.0,0.0,0.0,0.0
5.836575875486381,173.69336535490464,0.0,0.0,0.0,0.0,0.0
6.003335186214564,178.31373897837295,0.0,0.0,0.0,0.0,0.0
6.170094496942745,182.92338448058086,0.0,0.0,0.0,0.0,0.0
6.336853807670928,187.52232677131815,0.0,0.0,0.0,0.0,0.0
6.503613118399111,192.11059070253086,0.0,0.0,0.0,0.0,0.0
6.670372429127292,196.68820106849012,0.0,0.0,0.0,0.0,0.0
6.837131739855475,201.25518260587634,0.0,0.0,0.0,0.0,0.0
7.003891050583658,205.81155999396486,0.0,0.0,0.0,0.0,0.0
7.170650361311839,210.35735785467642,0.0,0.0,0.0,0.0,0.0
7.337409672040022,214.89260075281322,0.0,0.0,0.0,0.0,0.0
7.5041689827682045,219.4173131960929,0.0,0.0,0.0,0.0,0.0
7.670928293496386,223.93151963536735,0.0,0.0,0.0,0.0,0.0
7.837687604224569,228.43524446467376,0.0,0.0,0.0,0.0,0.0
8.004446914952752,232.92851202148728,0.0,0.0,0.0,0.0,0.0
8.171206225680933,237.44246156831974,0.0,0.0,0.0,0.0,0.0
8.337965536409115,243.8682060367913,0.0,0.0,0.0,0.0,0.0
8.504724847137298,250.27251383377836,0.0,0.0,0.0,0.0,0.0
8.67148415786548,256.65545647335216,0.0,0.0,0.0,0.0,0.0
8.838243468593662,263.0171052309452,0.0,0.0,0.0,0.0,0.0
9.005002779321845,269.3575311442242,0.0,0.0,0.0,0.0,0.0
9.171762090050027,275.6768050138655,0.0,0.0,0.0,0.0,0.0
9.338521400778209,281.974997404428,0.0,0.0,0.0,0.0,0.0
9.505280711506392,288.25217864495926,0.0,0.0,0.0,0.0,0.0
9.672040022234574,294.5084188299165,0.0,0.0,0.0,0.0,0.0
9.838799332962756,300.743787819894,0.0,0.0,0.0,0.0,0.0
10.00555864369094,306.9583552425201,0.0,0.0,0.0,0.0,0.0
10.172317954419121,313.15219049308723,0.0,0.0,0.0,0.0,0.0
10.339077265147303,319.3253627353038,0.0,0.0,0.0,0.0,0.0
10.505836575875486,325.4779409022636,0.0,0.0,0.0,0.0,0.0
10.672595886603668,331.6099936970033,0.0,0.0,0.0,0.0,0.0
10.83935519733185,337.72158959347246,0.0,0.0,0.0,0.0,0.0
11.006114508060033,343.8127968370667,0.0,0.0,0.0,0.0,0.0
11.172873818788215,349.8836834455487,0.0,0.0,0.0,0.0,0.0
11.339633129516397,355.9343172098485,0.0,0.0,0.0,0.0,0.0
11.50639244024458,361.9647656945965,0.0,0.0,0.0,0.0,0.0
11.673151750972762,367.97509623919063,0.0,0.0,0.0,0.0,0.0
11.839911061700944,373.9653759582077,0.0,0.0,0.0,0.0,0.0
12.006670372429127,379.93567174247084,0.0,0.0,0.0,0.0,0.0
12.173429683157309,385.8860502595579,0.0,0.0,0.0,0.0,0.0
12.34018899388549,391.81657795472336,0.0,0.0,0.0,0.0,0.0
12.506948304613674,397.7273210514551,0.0,0.0,0.0,0.0,0.0
